"tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"1/8/2018","86","31","21","129","24","129","o3","TIDAK SEHAT","DKI5"
"2/8/2018","68","31","18","207","20","207","o3","SANGAT TIDAK SEHAT","DKI5"
"3/8/2018","68","32","16","211","17","211","o3","SANGAT TIDAK SEHAT","DKI2"
"4/8/2018","59","31","16","194","16","194","o3","TIDAK SEHAT","DKI5"
"5/8/2018","65","35","14","203","16","203","o3","SANGAT TIDAK SEHAT","DKI2"
"6/8/2018","71","34","13","202","23","202","o3","SANGAT TIDAK SEHAT","DKI2"
"7/8/2018","79","35","21","162","25","162","o3","TIDAK SEHAT","DKI5"
"8/8/2018","92","33","28","144","29","144","o3","TIDAK SEHAT","DKI5"
"9/8/2018","75","37","22","186","18","186","o3","TIDAK SEHAT","DKI5"
"10/8/2018","65","33","18","165","17","165","o3","TIDAK SEHAT","DKI2"
"11/8/2018","69","31","17","126","19","126","o3","TIDAK SEHAT","DKI3"
"12/8/2018","77","31","20","127","15","127","o3","TIDAK SEHAT","DKI5"
"8/13/2018","66","30","14","134","14","134","o3","TIDAK SEHAT","DKI5"
"8/14/2018","74","31","19","151","13","151","o3","TIDAK SEHAT","DKI5"
"8/15/2018","62","30","15","185","16","185","o3","TIDAK SEHAT","DKI5"
"8/16/2018","72","31","17","140","15","140","o3","TIDAK SEHAT","DKI5"
"8/17/2018","62","31","15","154","13","154","o3","TIDAK SEHAT","DKI5"
"8/18/2018","62","30","14","143","14","143","o3","TIDAK SEHAT","DKI5"
"8/19/2018","79","32","20","149","13","149","o3","TIDAK SEHAT","DKI5"
"8/20/2018","80","30","19","101","11","101","o3","TIDAK SEHAT","DKI5"
"8/21/2018","73","32","16","122","11","122","o3","TIDAK SEHAT","DKI3"
"8/22/2018","62","31","16","164","9","164","o3","TIDAK SEHAT","DKI5"
"8/23/2018","62","30","17","161","16","161","o3","TIDAK SEHAT","DKI5"
"8/24/2018","81","32","22","110","18","110","o3","TIDAK SEHAT","DKI5"
"8/25/2018","76","31","19","202","13","202","o3","SANGAT TIDAK SEHAT","DKI5"
"8/26/2018","75","30","16","131","12","131","o3","TIDAK SEHAT","DKI5"
